second,fps,frame_ms_avg,frame_ms_min_missing,ghosts_alive,pool_exhausted
0,51,17.105,,30,19
1,60,16.667,,30,19
2,60,16.667,,30,19
3,60,16.666,,30,19
4,60,16.666,,30,19
5,60,16.666,,30,19
6,60,16.663,,30,19
7,60,16.667,,30,19
8,60,16.666,,30,19
9,60,16.667,,30,19
10,60,16.667,,30,19
11,60,16.667,,30,19
12,60,16.667,,30,19
13,60,16.667,,30,19
14,60,16.667,,30,19
15,60,16.667,,30,19
16,60,16.667,,30,19
17,60,16.667,,30,19
18,60,16.667,,30,19
19,60,16.667,,30,19
20,60,16.667,,30,19
21,60,16.667,,30,19
22,60,16.667,,30,19
23,60,16.667,,30,19
24,60,16.667,,30,19
25,60,16.667,,30,19
26,60,16.667,,30,19
27,60,16.667,,30,19
28,60,16.667,,30,19
29,60,16.667,,30,19
30,60,16.667,,30,19
31,60,16.667,,30,19
32,60,16.667,,30,19
33,60,16.667,,30,19
34,60,16.667,,30,19
35,60,16.667,,30,19
36,60,16.667,,30,19
37,60,16.667,,30,19
38,60,16.667,,30,19
39,60,16.667,,30,19
40,60,16.667,,30,19
41,60,16.667,,30,19
42,60,16.667,,30,19
43,60,16.667,,30,19
44,60,16.667,,30,19
45,60,16.667,,30,19
46,60,16.667,,30,19
47,60,16.667,,30,19
48,60,16.667,,30,19
49,60,16.667,,30,19
50,60,16.667,,30,19
51,60,16.667,,30,19
52,60,16.667,,30,19
53,60,16.667,,30,19
54,60,16.667,,30,19
55,60,16.667,,30,19
56,60,16.667,,30,19
57,60,16.666,,30,19
58,60,16.666,,30,19
59,60,16.666,,30,19
